Farmer ID,Region,Farm Size (ha),Crop Type,Annual Income (INR),Age Group,Tech Adoption,Primary Farming Method,Mobile Availability,Computer Availability,Irrigation Type,Has Mobile/Computer
1,East,7.4,Sugarcane,240710,56+,Medium,Traditional,True,True,Rain-fed,True
2,West,7.8,Sugarcane,266139,36-55,Low,Traditional,True,False,Sprinkler,False
3,North,1.2,Sugarcane,117215,56+,High,Organic,True,True,Canal,True
4,East,3.9,Sugarcane,381186,18-35,High,Organic,True,False,Sprinkler,True
5,East,1.6,Cotton,194356,18-35,Low,Organic,True,True,Sprinkler,True
6,West,8.7,Maize,253861,56+,High,Traditional,False,True,Rain-fed,True
7,North,6.4,Sugarcane,405612,18-35,Medium,Organic,True,True,Sprinkler,True
8,North,3.6,Maize,59435,56+,High,Organic,True,False,Rain-fed,True
9,East,1.1,Maize,497556,18-35,Medium,Traditional,True,False,Drip,False
10,South,3.5,Rice,225150,18-35,Low,Precision,True,True,Drip,False
11,East,3.6,Cotton,390976,56+,High,Traditional,True,False,Rain-fed,True
12,East,7.4,Sugarcane,101293,18-35,Low,Organic,True,False,Drip,True
13,East,6.6,Wheat,128781,56+,High,Traditional,True,False,Canal,True
14,East,8.9,Soybean,241475,18-35,Medium,Precision,True,False,Sprinkler,True
15,West,5.0,Wheat,210196,18-35,Low,Traditional,True,False,Canal,False
16,North,1.6,Cotton,276507,36-55,High,Organic,False,False,Sprinkler,True
17,West,7.3,Soybean,356063,36-55,Medium,Precision,True,True,Drip,False
18,West,7.7,Cotton,289833,56+,Low,Organic,False,True,Canal,False
19,West,5.8,Maize,302377,36-55,Low,Precision,True,False,Drip,True
20,East,7.8,Soybean,216319,56+,High,Precision,True,False,Sprinkler,True
21,South,5.2,Maize,171172,36-55,High,Traditional,False,True,Rain-fed,True
22,North,5.5,Wheat,406902,18-35,High,Traditional,True,True,Rain-fed,False
23,South,4.6,Wheat,368717,56+,Medium,Organic,True,False,Canal,True
24,West,0.7,Soybean,109101,56+,High,Traditional,True,False,Drip,True
25,West,1.5,Soybean,338790,18-35,Low,Traditional,True,True,Drip,False
26,South,0.8,Sugarcane,416329,56+,Low,Precision,True,True,Canal,True
27,South,6.5,Cotton,73049,56+,High,Traditional,True,False,Rain-fed,True
28,South,3.5,Sugarcane,260677,36-55,High,Precision,True,False,Sprinkler,True
29,West,5.3,Cotton,410260,56+,Low,Precision,True,True,Canal,True
30,West,9.1,Sugarcane,409523,18-35,Medium,Precision,True,True,Sprinkler,False
31,North,2.9,Maize,118385,36-55,High,Organic,True,True,Rain-fed,False
32,North,4.4,Soybean,176131,36-55,High,Organic,True,False,Drip,True
33,West,7.7,Wheat,483374,18-35,Low,Organic,True,True,Rain-fed,True
34,South,2.7,Cotton,246489,18-35,High,Precision,True,True,Canal,True
35,South,1.2,Cotton,73289,36-55,Medium,Organic,True,False,Drip,True
36,North,3.3,Wheat,422370,56+,Low,Organic,False,True,Canal,True
37,West,2.0,Sugarcane,412937,36-55,High,Traditional,True,False,Canal,False
38,North,9.3,Cotton,321967,18-35,Low,Organic,True,True,Rain-fed,False
39,North,8.2,Maize,241232,36-55,High,Organic,True,True,Canal,False
40,East,6.5,Soybean,354119,18-35,High,Precision,True,True,Rain-fed,False
41,East,8.8,Wheat,59540,36-55,High,Precision,True,False,Drip,True
42,East,8.1,Soybean,66364,56+,Medium,Precision,True,False,Rain-fed,True
43,South,2.3,Cotton,447827,36-55,Medium,Precision,True,False,Drip,True
44,West,9.0,Cotton,77663,36-55,Low,Precision,True,True,Rain-fed,False
45,West,5.6,Wheat,101991,18-35,High,Precision,True,False,Sprinkler,False
46,West,8.2,Maize,238751,18-35,High,Organic,False,True,Sprinkler,False
47,West,9.0,Rice,416326,18-35,Medium,Precision,True,True,Canal,False
48,East,3.5,Wheat,212049,36-55,High,Precision,True,False,Rain-fed,True
49,South,1.5,Rice,144704,56+,Medium,Traditional,False,True,Rain-fed,True
50,South,2.7,Sugarcane,99115,18-35,High,Organic,True,True,Drip,True
51,East,4.6,Rice,403151,18-35,Low,Organic,True,True,Canal,True
52,South,8.3,Maize,269295,36-55,High,Organic,False,True,Rain-fed,True
53,East,8.7,Sugarcane,241962,18-35,High,Precision,True,True,Canal,True
